onset	duration	onsetdelay	ITIduration	trial	ProperName	restudy?	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
228.511	4	1	1.5	38	Amin	0	Ape	NRPb	220.495	2	2	Ape1.jpg
234.011	4	1.5	1	39	Eton	0	Elephant	RPminus	225.995	2	2	Elephant3.jpg
239.011	4	1	2	40	Anton	0	Ape	NRPa	230.996	2	2	Ape2.jpg
245.011	4	2	1	41	Leroy	0	Lion	RPminus	236.996	2	2	Lion4.jpg
250.011	4	1	1	42	Orson	0	Otter	NRPb	241.996	2	2	Otter4.jpg
255.012	4	1	1	43	Linton	0	Lion	RPminus	246.996	2	2	Lion3.jpg
260.012	4	1	1	44	Orrin	0	Otter	NRPa	251.997	2	2	Otter2.jpg
265.012	4	1	3	45	Eton	0	Elephant	RPminus	256.997	2	2	Elephant3.jpg
272.012	4	3	1	46	Levar	0	Lion	RPplus	262.021	2	2	Lion5.jpg
277.013	4	1	1	47	Godwin	0	Giraffe	RPminus	268.997	2	2	Giraffe3.jpg
282.013	4	1	1	48	Arlen	0	Ape	NRPb	273.998	2	2	Ape6.jpg
287.013	4	1	3.5	49	Oxley	0	Otter	NRPb	278.998	2	2	Otter6.jpg
294.513	4	3.5	2.5	50	Gino	0	Giraffe	RPminus	286.498	2	2	Giraffe7.jpg
301.014	4	2.5	1.5	51	Elden	0	Elephant	RPplus	291.02	2	2	Elephant6.jpg
306.514	4	1.5	1.5	52	Oakley	0	Otter	NRPa	298.499	2	2	Otter7.jpg
312.014	4	1.5	1.5	53	Paxton	0	Pig	NRPa	303.999	2	2	Pig1.jpg
317.514	4	1.5	1.5	54	Amos	0	Ape	NRPa	309.499	2	2	Ape8.jpg
323.015	4	1.5	1	55	Lester	0	Lion	RPminus	314.999	2	2	Lion6.jpg
328.015	4	1	2.5	56	Egan	0	Elephant	RPplus	318.021	2	2	Elephant2.jpg
334.515	4	2.5	1.5	57	Arlen	0	Ape	NRPb	326.5	2	2	Ape6.jpg
340.016	4	1.5	1	58	Landin	0	Lion	RPplus	330.022	2	2	Lion1.jpg
345.016	4	1	2.5	59	Asher	0	Ape	NRPa	337	2	2	Ape5.jpg
351.516	4	2.5	1	60	Percy	0	Pig	NRPa	343.501	2	2	Pig5.jpg
356.516	4	1	1	61	Anton	0	Ape	NRPa	348.501	2	2	Ape2.jpg
361.517	4	1	1	62	Glenworth	0	Giraffe	RPminus	353.502	2	2	Giraffe5.jpg
366.517	4	1	2	63	Alden	0	Ape	NRPb	358.502	2	2	Ape4.jpg
372.517	4	2	1.5	64	Pearson	0	Pig	NRPb	364.502	2	2	Pig6.jpg
378.017	4	1.5	1	65	Patrice	0	Pig	NRPa	370.002	2	2	Pig2.jpg
383.018	4	1	3.5	66	Leroy	0	Lion	RPminus	375.002	2	2	Lion4.jpg
390.518	4	3.5	2.5	67	Ennis	0	Elephant	RPplus	380.526	2	2	Elephant8.jpg
397.018	4	2.5	1.5	68	Garret	0	Giraffe	RPplus	387.025	2	2	Giraffe8.jpg
402.518	4	1.5	1.5	69	Orson	0	Otter	NRPb	394.503	2	2	Otter4.jpg
408.019	4	1.5	1.5	70	Griswold	0	Giraffe	RPplus	398.026	2	2	Giraffe6.jpg
413.519	4	1.5	1	71	Omar	0	Otter	NRPb	405.503	2	2	Otter1.jpg
418.519	4	1	1.5	72	Gunther	0	Giraffe	RPplus	408.526	2	2	Giraffe2.jpg
424.019	4	1.5	1	73	Orrin	0	Otter	NRPa	416.004	2	2	Otter2.jpg
429.02	4	1	2.5	74	Oxley	0	Otter	NRPb	421.004	2	2	Otter6.jpg
435.52	4	2.5	4.5	75	Levar	0	Lion	RPplus	425.528	2	2	Lion5.jpg
444.02	4	4.5	1	76	Oakley	0	Otter	NRPa	436.005	2	2	Otter7.jpg
449.02	4	1	2	77	Gifford	0	Giraffe	RPminus	441.005	2	2	Giraffe1.jpg
455.021	4	2	2	78	Angus	0	Ape	NRPa	447.005	2	2	Ape7.jpg
461.021	4	2	2.5	79	Gordie	0	Giraffe	RPplus	451.028	2	2	Giraffe4.jpg
467.521	4	2.5	1	80	Luther	0	Lion	RPplus	457.528	2	2	Lion2.jpg
472.521	4	1	1	81	Emmet	0	Elephant	RPplus	462.529	2	2	Elephant5.jpg
477.521	4	1	2	82	Ewan	0	Elephant	RPminus	469.506	2	2	Elephant7.jpg
483.522	4	2	2.5	83	Osgood	0	Otter	NRPa	475.507	2	2	Otter3.jpg
490.022	4	2.5	1	84	Efren	0	Elephant	RPminus	482.007	2	2	Elephant1.jpg
495.022	4	1	4	85	Luka	0	Lion	RPplus	485.031	2	2	Lion7.jpg
503.023	4	4	2	86	Prescott	0	Pig	NRPa	495.007	2	2	Pig8.jpg
509.023	4	2	1	87	Amin	0	Ape	NRPb	501.007	2	2	Ape1.jpg
514.023	4	1	2	88	Pryor	0	Pig	NRPb	506.008	2	2	Pig4.jpg
520.023	4	2	2.5	89	Olaf	0	Otter	NRPb	512.008	2	2	Otter8.jpg
526.523	4	2.5	2	90	Perry	0	Pig	NRPb	518.508	2	2	Pig3.jpg
532.524	4	2	1	91	Linton	0	Lion	RPminus	524.508	2	2	Lion3.jpg
537.524	4	1	2.5	92	Parrish	0	Pig	NRPb	529.509	2	2	Pig7.jpg
544.024	4	2.5	2.5	93	Odin	0	Otter	NRPa	536.009	2	2	Otter5.jpg
550.525	4	2.5	1.5	94	Lonnie	0	Lion	RPminus	542.509	2	2	Lion8.jpg
556.025	4	1.5	1	95	Abner	0	Ape	NRPb	548.01	2	2	Ape3.jpg
561.025	4	1	5	96	Edbert	0	Elephant	RPminus	553.01	2	2	Elephant4.jpg
